nom_structure,nom_contact,email,telephone,type_prospect,pays,region,departement,ville,adresse,nb_aderents,facebook,facebook_followers,x,x_followers,instagram,instagram_followers,youtube,youtube_followers,tictok,tictok_followers,sit_web,accepte_contact,methode_contact,contacte,date_dernier_contact,commentaires
Ludothèque Espoir,,aimee96@example.com,0649819120,Ludothèque,France,Provence-Alpes-Côte d'Azur,06,Nice,"9, boulevard de Colin",479.0,,,http://chretien.net/,9754.0,https://www.navarro.com/,15626.0,,,,,https://www.maillet.org/,True,telephone,True,2024-03-07,
MJC Ainsi,,ibesnard@example.net,0788319413,MJC,France,Nouvelle-Aquitaine,24,Bergerac,"6, rue de Gauthier",,,,,,http://da.com/,18526.0,https://maury.fr/,25050.0,,,http://www.martel.fr/,True,,True,,
Éditeur Vague,,hjacques@example.com,0768036840,Éditeur,France,Auvergne-Rhône-Alpes,42,Roanne,"830, rue de Gilles",29.0,http://www.da.net/,8747.0,,,,,https://www.gay.com/,7787.0,,,,True,,True,2024-10-30,Époque maintenant commun rouge verser voix.
Asso JDR Avance,Gabriel Guillet,wpinto@example.com,,Asso JDR,France,Provence-Alpes-Côte d'Azur,83,Draguignan,,,,,,,http://lacombe.fr/,7556.0,http://www.dias.com/,39024.0,http://lefort.net/,56399.0,http://verdier.com/,False,,True,2025-12-24,Rêve minute delà été heureux rencontrer sourd.
Asso JDR Tel,,manon00@example.org,0752718709,Asso JDR,France,Pays de la Loire,85,Les Sables-d’Olonne,rue de Leblanc,,https://mathieu.net/,5319.0,,,,,,,http://klein.fr/,56928.0,https://www.lacroix.com/,True,,False,,
Ludothèque Nul,,ttessier@example.com,0753400724,Ludothèque,France,Corse,2B,Bastia,avenue Lecoq,,http://www.rey.fr/,9381.0,https://www.charrier.com/,3110.0,,,,,,,http://www.dupre.com/,False,,True,2024-09-09,
MJC Baisser,,monnierchristine@example.com,0672291819,MJC,France,Occitanie,34,Béziers,chemin Édouard Durand,183.0,http://marques.fr/,3739.0,https://charrier.fr/,10760.0,,,,,,,http://www.robert.fr/,True,email,True,2024-08-28,
CSCS Expression,Paul Hervé-Perrin,agnessimon@example.net,,CSCS,France,Occitanie,12,Rodez,"5, rue André Lévy",35.0,http://dupre.com/,3548.0,http://mathieu.com/,5613.0,https://mathieu.org/,21358.0,https://delmas.net/,18439.0,,,http://mathieu.com/,False,telephone,True,,Depuis prier minute choisir quand ajouter grand.
Médiathèque Corps,Diane de Delaunay,benoit50@example.org,0659279199,Médiathèque,France,Auvergne-Rhône-Alpes,01,Oyonnax,,,https://www.millet.com/,1653.0,http://lecoq.com/,3242.0,https://letellier.org/,12949.0,,,,,http://barthelemy.com/,True,,False,2025-12-29,
Éditeur Non,Grégoire Rousseau,claudelabbe@example.net,,Éditeur,France,Auvergne-Rhône-Alpes,07,Aubenas,,477.0,https://lefevre.com/,645.0,https://www.prevost.com/,7733.0,https://www.petitjean.com/,16407.0,https://moreau.fr/,30042.0,http://www.goncalves.org/,23494.0,http://guerin.net/,False,instagram,True,2025-03-08,
